ALLOC_MAX, FIRST_FIT, NEXT_FIT, BEST_FIT, WORST_FIT,
10, 2016156, 1747482, 2115699, 1257615, 
20, 607178, 541408, 615200, 468341, 
30, 373078, 338409, 384670, 213768, 
40, 151037, 126469, 172606, 103134, 
50, 90501, 85266, 96918, 76305, 
70, 51594, 43935, 51032, 39438, 
100, 26136, 26440, 28669, 22113, 
200, 8214, 7628, 8143, 7418, 
300, 4147, 4203, 4148, 4088, 
400, 2445, 2463, 2496, 2250, 
500, 1472, 1471, 1496, 1467, 
700, 817, 817, 817, 810, 
